QUADNAME,TAG,STEMTAG,SPCODE,QX,QY,DBH.2019,BDS.2021,PIECE.2021,INTEGRITY.2021,DECAYCLASS.2021,GC.2021,HEIGHT.2021,TOPDIAM.2021,DBH.2021,LENGTH,ANGLE,DIRECTION,HOM,CODES.2019,PX,PY,Notes2021
178,11509,11509,FRPE,2.4,3.8,12.5,,,,,,,,,,,,1.3,LI;CWD;XY,62.4,73.8,
179,10586,10586,CACA18,0.6,5.7,23.1,,,,,,,,,,,,1.3,LI;L;X,60.6,85.7,
179,10591,10591,ACRU,3.7,5.9,20.4,,,,,,,,,,,,1.3,LI;MT,63.7,85.9,
179,10593,10593,CACA18,6.8,6.7,10.4,,,,,,,,,,,,1.3,LI;I;L;Q,66.8,86.7,
179,10594,10594,ACRU,0.1,6.6,13.5,,,,,,,,,,,,1.3,LI,60.1,86.6,
181,10723,10723,NYSY,1,6,18,,,,,,,,,,,,1.25,LI;A,71,6,
181,10725,10725,NYSY,6.4,0.2,33.1,,,,,,,,,,,,1.11,LI;A,76.4,0.2,
181,10729,10729,FAGR,5.7,6.9,29.3,,,,,,,,,,,,1.3,LI;M;MT,75.7,6.9,
182,10743,10743,FAGR,4.5,1,12.3,,,,,,,,,,,,1.3,LI,74.5,11,
182,10780,10780,NYSY,8.7,9,23.9,,,,,,,,,,,,1.3,LI,78.7,19,
183,10786,10786,NYSY,4.5,1.3,24,,,,,,,,,,,,1.3,LI,74.5,21.3,
183,10795,10795,FAGR,6.2,6,11.2,,,,,,,,,,,,1.3,LI;M,76.2,26,
183,10798,10798,NYSY,9,4.7,22.5,,,,,,,,,,,,1.3,LI;MT,79,24.7,
183,10799,10799,QUVE,2.3,6.8,72.1,,,,,,,,,,,,1.3,LI,72.3,26.8,
184,11018,11018,FAGR,7.4,4.1,28.3,,,,,,,,,,,,1.3,LI,77.4,34.1,
184,11020,11020,ACRU,9.4,5.7,34.2,,,,,,,,,,,,1.3,LI,79.4,35.7,
184,11021,11021,CACA18,0.6,5.3,10.1,,,,,,,,,,,,1.3,LI;L;IR,70.6,35.3,
185,11025,11025,CACA18,9.9,3.8,11.3,,,,,,,,,,,,1.3,LI;M,79.9,43.8,
185,11029,11029,FRPE,1.1,3.7,23.5,,,,,,,,,,,,1.3,LI,71.1,43.7,
185,11035,11035,LIST2,5.9,8.3,17.9,,,,,,,,,,,,1.3,LI;SP,75.9,48.3,
185,11040,11040,ULRU,6.1,9.8,28.1,,,,,,,,,,,,1.3,LI;IR;SP,76.1,49.8,
186,11043,11043,NYSY,9.3,3,12.2,,,,,,,,,,,,1.3,LI,79.3,53,
186,11044,11044,ULAM,6.2,5.1,31.5,,,,,,,,,,,,1.3,LI;L,76.2,55.1,
187,11053,11053,ACRU,0.4,1.5,17.4,,,,,,,,,,,,1.3,LI;M;MT,70.4,61.5,
187,11053,11054,ACRU,0.4,1.5,10.7,,,,,,,,,,,,1.3,LI;SEC,70.4,61.5,
187,11053,11055,ACRU,0.4,1.5,15.6,,,,,,,,,,,,1.3,LI;SEC,70.4,61.5,
187,11057,11057,LIST2,9.6,8.6,31.2,,,,,,,,,,,,1.3,LI;IR;MT,79.6,68.6,
188,11058,11058,FRPE,5.9,8.8,14.3,,,,,,,,,,,,1.3,LI;XY,75.9,78.8,
188,11059,11059,NYSY,8.5,7.8,10,,,,,,,,,,,,1.3,LI;CWD;L,78.5,77.8,
188,11060,11060,FRPE,9.5,6.1,19.7,,,,,,,,,,,,1.28,LI;A;XY;MT,79.5,76.1,
188,11063,11063,FRPE,1.3,0.6,12.6,,,,,,,,,,,,1.26,LI;A,71.3,70.6,
188,11067,11067,QUPA2,1.1,7,15.1,,,,,,,,,,,,1.6,LI;A;CWD;P;X;MT,71.1,77,
189,11068,11068,CACA18,1.8,7.3,21.8,,,,,,,,,,,,1.3,LI;L;IR,71.8,87.3,
189,11072,11072,LIST2,6.9,8.8,11.7,,,,,,,,,,,,1.3,LI,76.9,88.8,
189,11073,11073,CACA18,6.9,8,13.7,,,,,,,,,,,,1.32,LI;L;A;X,76.9,88,
189,11074,11074,CACA18,7.2,2,12.2,,,,,,,,,,,,1.3,LI,77.2,82,
189,11075,11075,FRPE,4.8,2,11.4,,,,,,,,,,,,1.3,LI,74.8,82,
189,11541,11541,QUMI,4.9,1,11,,,,,,,,,,,,1.3,LI;SP,74.9,81,
189,11542,11542,ULRU,3.8,3.6,11,,,,,,,,,,,,2.6,LI;A;P,73.8,83.6,
191,10801,10801,FAGR,9.3,0.9,40.5,,,,,,,,,,,,1.3,LI,89.3,0.9,
191,10822,10822,FAGR,3.8,8,10.8,,,,,,,,,,,,1.28,LI;A;CWD,83.8,8,
192,10824,10824,FAGR,7.9,5.6,81.8,,,,,,,,,,,,1.3,LI,87.9,15.6,
192,10825,10825,FAGR,4.4,5.6,94.1,,,,,,,,,,,,1.3,LI,84.4,15.6,
193,10854,10854,NYSY,1.7,3,24.7,,,,,,,,,,,,1.3,LI,81.7,23,
194,10870,10870,FAGR,3.4,0.5,42.4,,,,,,,,,,,,1.3,LI,83.4,30.5,
194,10873,10873,FAGR,1,5.1,11.1,,,,,,,,,,,,1.3,LI,81,35.1,
194,10875,10875,NYSY,2.7,8.1,12.8,,,,,,,,,,,,1.3,LI,82.7,38.1,
194,10876,10876,LIST2,2.7,8.5,53.1,,,,,,,,,,,,1.3,LI,82.7,38.5,
194,10877,10877,NYSY,4.2,6,23.5,,,,,,,,,,,,1.3,LI;L;CWD,84.2,36,
