QUADNAME,TAG,STEMTAG,SPCODE,PX,PY,PIECE,BREAKDOWNSTATUS,INTEG,DECAYCLASS,DECAYCLASSORIG,GC,HEIGHT,TOPDIAM,DBH,DBH.2017,NOTES.2017,LG.PX,LG.PY,SM.PX,SM.PY,LENGTH,LG.END.DIAM,SM.END.DIAM,CON.2014,CODES.2014,NOTES.2014,CORRXTREE,CORRYTREE,UTMX_TREES,UTMY_TREES
394,31089,31089,LIST2,0.7,9.2,B,Log,F,1,1,G,NA,NA,16.7,NA,NA,NA,NA,NA,NA,12.5,15.9,7,LI,X,bark irregular,80.7,239.2,438101.893,135833.697
394,31089,31089,LIST2,0.7,9.2,A,Snag,F,1,1,NA,3,15.9,16.7,16.5,NA,NA,NA,NA,NA,NA,NA,NA,LI,X,bark irregular,80.7,239.2,438101.893,135833.697
377,31122,31122,CATO6,0,1.5,A,Log,NA,NA,NA,NA,NA,NA,46.6,NA,"cut down, hazard tree",NA,NA,NA,NA,NA,NA,NA,LI,NA,NA,60,261.5,438081.193,135855.997
378,31143,31143,CACA18,1.8,4.6,A,Log,F,4,2,G,NA,NA,13.6,NA,NA,NA,NA,NA,NA,3,12,9.8,DS,X,NA,61.8,274.6,438082.993,135869.097
389,31335,31335,CATO6,0.5,6.9,A,Snag,F,2,1,NA,4,11.7,16.9,16.5,NA,NA,NA,NA,NA,NA,NA,NA,DS,NA,NA,70.5,286.9,438091.693,135881.397
389,31335,31335,CATO6,0.5,6.9,B,Log,F,3,2,G,NA,NA,16.9,NA,NA,NA,NA,NA,NA,7.5,11.7,6.7,DS,NA,NA,70.5,286.9,438091.693,135881.397
389,31340,31340,CATO6,2.3,9.4,A,Log,F,4,2,G,NA,NA,18.1,NA,NA,NA,NA,NA,NA,8,16.8,12.7,DS,NA,NA,72.3,289.4,438093.493,135883.897
395,31504,31504,COFL2,5.6,6.4,A,Snag,C,1,1,NA,7,NA,10.3,10.2,NA,NA,NA,NA,NA,NA,NA,NA,LI,L,East,85.6,246.4,438106.793,135840.897
413,40044,40044,FAGR,9.5,4.5,B,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3,53,NA,NA,NA,9.5,324.5,438030.693,135918.997
413,40044,40044,FAGR,9.5,4.5,C,Log,F,2,1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3,52.4,NA,NA,NA,9.5,324.5,438030.693,135918.997
