"","X","PIECETAG","STEMTAG","QUADNAME","QX.x","QY.x","SPCODE","BDS.2014","BDS.2017","BDS.2021","DC.2014","DC.2017","DC.2021","TOPDIAM.2014","TOPDIAM.2017","TOPDIAM.2021","DBH.2014","DBH.x","DBH.2017","DBH.y","DBH.2019","DBH.2021","LENGTH.2014","LENGTH.2017","LENGTH.2021","HEIGHT.2014","HEIGHT.2017","HEIGHT.2021","BDS.2014_new","BDS.2017_new","BDS.2021_new","DC.2017_3","DC.2021_3"
"428",428,"20207A",20207,219,NA,NA,"CACA18","lying whole",NA,NA,2,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"429",429,"20222A",20222,2110,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,11.1,NA,NA,11.2,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,"snag",NA,NA,NA,NA
"430",430,"20222B",20222,2110,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"431",431,"20223C",20223,2110,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"432",432,"20223B",20223,2110,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,"snag",NA,NA,NA,NA
"433",433,"20223A",20223,2110,NA,NA,"CACA18","standing broken",NA,NA,2,NA,NA,8,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,"snag",NA,NA,NA,NA
"434",434,"20239A",20239,242,3.1,0.6,"QURU","standing dead","Log","Log",2,4,4,NA,NA,NA,70.4,70.9,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"snag","log","log",2,2
"435",435,"20288A",20288,246,NA,NA,"JUVI","lying whole",NA,NA,2,NA,NA,NA,NA,NA,21.8,NA,NA,23.9,NA,NA,7.9,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"436",436,"20306A",20306,231,NA,NA,"QUAL","lying whole",NA,NA,2,NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"437",437,"20321A",20321,232,NA,NA,"QUCO2","lying whole",NA,NA,3,NA,NA,NA,NA,NA,15.8,NA,NA,NA,NA,NA,13.8,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"438",438,"20342A",20342,236,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"439",439,"20450A",20450,255,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"440",440,"20462A",20462,256,NA,NA,"CATO6","lying whole",NA,NA,2,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"441",441,"20488A",20488,258,0.2,8.6,"COFL2","standing dead","Log","Log",1,4,2,NA,NA,NA,13,12.8,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"snag","log","log",2,1
"442",442,"20516A",20516,248,NA,NA,"CACA18","lying whole",NA,NA,2,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
"443",443,"20527A",20527,249,NA,NA,"COFL2","lying whole",NA,NA,2,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,"log",NA,NA,NA,NA
